badenpo N o   i n f o r m a t i o n   b e c a u s e   I   c o u l d   n o t   c o n n e c t .
billieh (0)    P8    [N/A]    37    36    [MMM_____________________________________] [________________________________________] ✅
camryn  (0)    P8    32.10    38    0     [M_______________________________________] [UU______________________________________] ✅
boyi    (0)    P8    32.08    40    30    [MM______________________________________] [________________________________________] ✅
justin  (0)    P2    300.21   88    50    [M_______________________________________] [UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU__] ⚠️
justin  (1)    P8    25.51    51    30    [________________________________________] [________________________________________] ✅
justin  (2)    P8    8.49     37    30    [M_______________________________________] [________________________________________] ✅
adam    (0)    P8    19.72    29    0     [________________________________________] [________________________________________] ✅
kevin   (0)    P8    42.35    37    0     [M_______________________________________] [________________________________________] ✅
michael (0)    P8    23.30    34    0     [M_______________________________________] [________________________________________] ✅
evan    (0)    P8    30.32    38    0     [M_______________________________________] [________________________________________] ✅
sarah   (0)    P8    18.17    34    23    [M_______________________________________] [________________________________________] ✅
cooper  (0)    P8    10.68    28    23    [M_______________________________________] [________________________________________] ✅
thais   (0)    P8    9.34     32    18    [________________________________________] [________________________________________] ✅
thais   (1)    P8    13.09    31    17    [________________________________________] [________________________________________] ✅
irene   (0)    P8    7.37     36    27    [M_______________________________________] [________________________________________] ✅
irene   (1)    P8    7.66     36    28    [________________________________________] [________________________________________] ✅
irene   (2)    P8    7.51     36    28    [________________________________________] [________________________________________] ✅
